filename,image_id,mean_human_complexity_rating,news_category,infographic_category,government_category,science_category,single_panel,multi_panel,category,panel_s,amount_of_text,no_text,axes_labels,axes_text,titles,annotations,captions,legend_text,legend_title,text_only,black_and_white,background_color,color_count,quantitative,categorical,chart_count,chart_types,area,bar,circle,diagram,distribution,grid_or_matrix,line,map,point,table,text,trees_or_networks,chart_types_count
v487_n7408_11_f2.png,0.png,75.6,0,0,0,1,0,1,S,multipanel,"annotation(s),axes text,axes labels",0,1,1,0,1,0,0,0,0,0,0,2,2,0,2,Area,1,0,0,0,0,0,0,0,0,0,0,0,1
v488_n7412_16_f2.png,1.png,71.8,0,0,0,1,0,1,S,multipanel,"axes text,axes labels,annotation(s)",0,1,1,0,1,0,0,0,0,0,1,4,1,4,1,Bar,0,1,0,0,0,0,0,0,0,0,0,0,1
economist_daily_chart_293.png,2.png,47.3,1,0,0,0,0,1,N,multipanel,"annotation(s),caption(s),axes text,title(s)",0,0,1,1,1,1,0,0,0,0,1,2,2,3,2,"Bar,Line",0,1,0,0,0,0,1,0,0,0,0,0,2
wsj463.png,3.png,27.1,1,0,0,0,1,0,N,single,"text-only,annotation(s),title(s),caption(s)",0,0,0,1,1,1,0,0,1,1,0,2,1,2,1,Table,0,0,0,0,0,0,0,0,0,1,0,0,1
visMost451.png,4.png,44.9,0,1,0,0,1,0,I,single,"title(s),axes text",0,0,1,1,0,0,0,0,0,0,0,13,0,2,1,Table,0,0,0,0,0,0,0,0,0,1,0,0,1
visMost337.png,5.png,68.8,0,1,0,0,1,0,I,single,text-only,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,Diagram,0,0,0,1,0,0,0,0,0,0,0,0,1
v490_n7420_16_f3.png,6.png,60,0,0,0,1,0,1,S,multipanel,"axes labels,legend text,axes text",0,1,1,0,0,0,1,0,0,0,0,7,2,4,5,"Line,Bar,Area",1,1,0,0,0,0,1,0,0,0,0,0,3
vis262.png,7.png,67.5,0,1,0,0,0,1,I,multipanel,"title(s),annotation(s),caption(s)",0,0,0,1,1,1,0,0,0,0,1,5,1,1,17,"Bar,Distribution",0,1,0,0,1,0,0,0,0,0,0,0,2
whoH02_3.png,8.png,23.2,0,0,1,0,0,1,G,multipanel,"axes labels,annotation(s),title(s),axes text,legend text",0,1,1,1,1,0,1,0,0,0,0,3,2,1,1,Bar,0,1,0,0,0,0,0,0,0,0,0,0,1
wsj305.png,9.png,30.1,1,0,0,0,1,0,N,single,"legend text,caption(s)",0,0,0,0,0,1,1,0,0,0,1,3,0,1,1,Map,0,0,0,0,0,0,0,1,0,0,0,0,1
v487_n7406_20_f1.png,10.png,78.4,0,0,0,1,0,1,S,multipanel,"legend text,axes text,axes labels,annotation(s)",0,1,1,0,1,0,1,0,0,0,0,6,2,3,3,"Bar,Distribution,Line",0,1,0,0,1,0,1,0,0,0,0,0,3
wsj311.png,11.png,14.6,1,0,0,0,1,0,N,single,text-only,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,Table,0,0,0,0,0,0,0,0,0,1,0,0,1
visMost323.png,12.png,70.1,0,1,0,0,0,1,I,multipanel,"title(s),annotation(s),caption(s),axes text",0,0,1,1,1,1,0,0,0,0,0,1,1,2,4,"Area,Diagram,Map",1,0,0,1,0,0,0,1,0,0,0,0,3
vis276.png,13.png,47.3,0,1,0,0,0,1,I,multipanel,"title(s),annotation(s),caption(s)",0,0,0,1,1,1,0,0,0,0,1,4,0,1,4,"Bar,Circle,Distribution",0,1,1,0,1,0,0,0,0,0,0,0,3
v484_n7393_16_f4.png,14.png,90.2,0,0,0,1,0,1,S,multipanel,"axes labels,axes text,title(s),legend text, legend title(s)",0,1,1,1,0,0,1,1,0,0,0,8,6,4,15,"Bar,Line,Grid & Matrix,Point",0,1,0,0,0,1,1,0,1,0,0,0,4
vis510.png,15.png,57.5,0,1,0,0,1,0,I,single,"title(s),annotation(s),caption(s)",0,0,0,1,1,1,0,0,0,0,1,7,0,1,4,Table,0,0,0,0,0,0,0,0,0,1,0,0,1
v486_n7401_14_f4.png,16.png,77.4,0,0,0,1,0,1,S,multipanel,"axes labels,axes text,legend text, annotation(s)",0,1,1,0,1,0,1,0,0,0,0,6,2,2,5,"Bar,Table",0,1,0,0,0,0,0,0,0,1,0,0,2
whoI06.png,17.png,57.3,0,0,1,0,1,0,G,single,"axes labels,axes text,caption(s),annotation(s)",0,1,1,0,1,1,0,0,0,1,0,0,2,0,1,Line,0,0,0,0,0,0,1,0,0,0,0,0,1
visMost445.png,18.png,61,0,1,0,0,1,0,I,single,"title(s),annotation(s),axes text,caption(s)",0,0,1,1,1,1,0,0,0,0,1,10,1,0,1,Diagram,0,0,0,1,0,0,0,0,0,0,0,0,1
economist_daily_chart_287.png,19.png,32.1,1,0,0,0,1,0,N,single,"axes labels,axes text,caption(s),title(s),legend text,legend title",0,1,1,1,0,1,1,1,0,0,1,3,1,1,1,Bar,0,1,0,0,0,0,0,0,0,0,0,0,1
wsj477.png,20.png,30.7,1,0,0,0,0,1,N,multipanel,"title(s),annotation(s),caption(s)",0,0,0,1,1,1,0,0,0,0,1,7,1,1,1,Distribution,0,0,0,0,1,0,0,0,0,0,0,0,1
vis538.png,21.png,54.9,0,1,0,0,0,1,I,multipanel,"title(s), annotation(s), caption(s)",0,0,0,1,1,1,0,0,0,0,1,5,0,1,6,"Bar,Line,Circle",0,1,1,0,0,0,1,0,0,0,0,0,3
vis89.png,22.png,46.8,0,1,0,0,0,1,I,multipanel,"title(s),annotation(s), legend text",0,0,0,1,1,0,1,0,0,0,1,6,0,1,3,"Circle,Trees & Networks,Bar",0,1,1,0,0,0,0,0,0,0,0,1,3
v484_n7393_18_f1.png,23.png,77.2,0,0,0,1,0,1,S,multipanel,annotation(s),0,0,0,0,1,0,0,0,0,0,0,5,0,3,8,Diagram,0,0,0,1,0,0,0,0,0,0,0,0,1
wsj339.png,24.png,44.7,1,0,0,0,0,1,N,multipanel,"caption(s),title(s),annotation(s)",0,0,0,1,1,1,0,0,0,0,0,4,1,1,5,"Map,Circle",0,0,1,0,0,0,0,1,0,0,0,0,2
visMost479.png,25.png,79.4,0,1,0,0,1,0,I,single,"annotation(s),title(s)",0,0,0,1,1,0,0,0,0,0,1,5,0,2,1,Diagram,0,0,0,1,0,0,0,0,0,0,0,0,1
vis76.png,26.png,40.8,0,1,0,0,1,0,I,single,"title(s),annotation(s),axes text,axes labels,caption(s)",0,1,1,1,1,1,0,0,0,0,1,3,2,0,1,Bar,0,1,0,0,0,0,0,0,0,0,0,0,1
whoQ52_1.png,27.png,20.4,0,0,1,0,1,0,G,single,"axes text,title(s)",0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,Bar,0,1,0,0,0,0,0,0,0,0,0,0,1
